,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
87,87,2015-16,HARYANA,GURGAON,1514085.0,73.93,853.0,84.44,77.64,90.27,1258.0,425,24663,1160,4583,10,94,91,75,217,248,170,11,30,72
88,88,2015-16,HARYANA,FARIDABAD,1798954.0,31.75,871.0,83.04,75.17,89.94,741.0,330,32500,1887,6477,7,119,122,37,152,163,52,55,14,45
89,89,2015-16,HARYANA,MEWAT,1089406.0,37.94,906.0,56.14,37.58,72.98,1507.0,59,5573,1025,592,37,139,153,149,441,241,82,10,10,82
90,90,2015-16,HARYANA,PALWAL,1040493.0,25.49,879.0,70.32,56.4,82.6,1359.0,192,11870,2520,2851,13,123,101,142,305,253,168,43,12,119
91,91,2015-16,DELHI,NORTH WEST DELHI,3651261.0,27.63,862.0,84.66,78.76,89.74,443.0,607,51669,1756,10757,119,1585,394,285,667,322,644,34,66,212
92,92,2015-16,DELHI,NORTH DELHI,883418.0,13.04,871.0,86.81,81.92,91.06,61.0,122,6152,439,2142,17,170,31,54,101,61,22,8,7,38
93,93,2015-16,DELHI,NORTH EAST DELHI,2240749.0,26.73,886.0,82.8,76.51,88.39,62.0,192,15342,1027,5428,31,372,111,122,497,249,222,23,23,78
94,94,2015-16,DELHI,EAST DELHI,1707725.0,16.68,883.0,88.75,84.55,92.47,63.0,285,23423,689,6023,10,344,382,106,308,193,502,21,13,116
95,95,2015-16,DELHI,NEW DELHI,133713.0,-25.35,811.0,89.38,84.83,93.04,35.0,55,4773,227,1550,98,124,24,17,34,25,105,7,15,16
96,96,2015-16,DELHI,CENTRAL DELHI,578671.0,-10.48,892.0,85.25,82.6,87.6,21.0,93,6562,546,2205,15,336,295,51,82,56,390,18,14,74
